0
LSTM
0.926
0.965
0.926
0.94
"[[26164    45    86   281  1525   501    86    15]
 [    4  1652     0     3     1     0     0     0]
 [    8     0  2474     6    11     0     0     1]
 [   25     4     8  1097    32    21    11     1]
 [   39     0     3     4   724     2     1     0]
 [    6     0     1     8     2   176     0     0]
 [    8     0     1     6    13     1   378    21]
 [    0     0     0     1     1     0     9  2396]]"
